S.No.,Description,Sub Class,Class,Group,Division,Section
1,Growing of wheat,1111,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
2,"Growing of jowar, bajra and millets",1112,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
3,Growing of other cereals,1113,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
4,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds",1114,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
5,Growing of mustard oil seed,1115,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
6,Growing of groundnut oil seed,1116,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
7,Growing of sunflower oil seed,1117,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
8,Growing of soya bean oil seed,1118,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
9,Growing of other oil seeds,1119,111,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
10,Organic farming of basmati rice,1121,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
11,Organic farming of non-basmati rice,1122,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
12,Inorganic farming of basmati rice,1123,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
13,Inorganic farming of non-basmati rice,1124,112,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
14,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables",1131,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
15,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables",1132,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
16,Growing of onion,1133,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
17,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)",1134,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
18,"Growing of potatoes and other tubers such as sweet potatoes, cassava, yams",1135,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
19,Growing of mushrooms and truffles,1136,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
20,Growing of vegetable seeds (except beet seed),1137,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
21,"Growing of vegetables, n.e.c.",1139,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
22,Growing of sugar cane,1140,114,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
23,Growing of tobacco,1150,115,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
24,Growing of cotton,1161,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
25,Growing of jute,1162,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
26,Growing of other fibre crops,1169,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
27,Growing of rose,1191,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
28,Growing of gladiolus,1192,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
29,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds",1193,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
30,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c.",1199,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
31,Growing of grapes,1210,121,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
32,Growing of mangoes,1221,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
33,Growing of bananas,1222,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
34,Growing of pineapples,1223,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
35,Growing of lichchis,1224,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
36,Growing of guava,1225,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
37,Growing of other tropical and sub tropical fruits,1229,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
38,Growing of oranges,1231,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
39,Growing of mousambi (grape fruit),1232,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
40,Growing of lemons and lime,1233,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
41,Growing of other citrus fruits,1239,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
42,Growing of apples,1241,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
43,"Growing of appricots, peaches and nectarines",1242,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
44,Growing of cherries and sour cherries,1243,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
45,Growing of other pome fruits and stone fruits,1249,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
46,Growing of strawberries and other berries,1251,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
47,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)",1252,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
48,"Growing of other tree and bush fruits, n.e.c.",1259,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
49,Growing of coconut,1261,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
50,Growing of olives and oil palms,1262,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
51,Growing of other oleaginous fruits,1269,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
52,Growing of tea,1271,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
53,Growing of coffee,1272,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
54,Growing of cocoa,1273,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
55,Growing of other beverage crops,1279,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
56,Growing of ginger,1281,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
57,Growing of chili,1282,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
58,Growing of cardamoms,1283,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
59,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)",1284,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
60,Growing of drug and narcotic crops,1285,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
61,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes",1286,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
62,Growing of heena leaves (mehendi),1287,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
63,Growing of rubber trees,1291,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
64,Growing of trees for extraction of sap,1292,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
65,Growing of bamboo and cane,1293,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
66,"Growing of other perennial crops, n.e.c.",1299,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
67,Growing of plants for planting,1301,130,13,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
68,Raising and breeding of cattle and buffaloes,1411,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
69,Production of milk from cows or buffaloes,1412,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
70,Production of bovine semen,1413,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
71,Raising and breeding of camels and camelids,1430,143,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
72,Raising and breeding of sheep and goats,1441,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
73,Production of milk from sheep or goat,1442,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
74,Production of raw wool,1443,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
75,Raising of swine/pigs (including breeding of swine/pigs),1450,145,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
76,"Raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls",1461,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
77,Production of eggs,1462,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
78,Operation of poultry hatcheries,1463,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
79,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)",1491,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
80,Bee-keeping and production of honey and beeswax,1492,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
81,"Raising of silk worms, production of silk worm cocoons",1493,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
82,"Raising of other animals, n.e.c.",1499,149,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
83,Mixed farming,1500,150,15,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
84,"Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agr",1611,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
85,Operation of agricultural irrigation equipment,1612,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
86,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),n.e.c.",1619,161,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
87,Support activities for animal production,1620,162,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
88,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting",1631,163,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
89,"Cotton ginning, cleaning and bailing",1632,163,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
90,Preparation of tobacco leaves,1633,163,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
91,"Other post harvest crop activities, n.e.c.",1639,163,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
92,Seed processing for propagation,1640,164,16,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
93,"Hunting, trapping and related service activities",1700,170,17,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
94,"Growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts)",2101,210,21,Forestry and logging,"Agriculture, forestry and fishing"
95,Operation of forest tree nurseries,2102,210,21,Forestry and logging,"Agriculture, forestry and fishing"
96,"Other foresty activities including growing of pulpwood,firewood etc",2109,210,21,Forestry and logging,"Agriculture, forestry and fishing"
97,Gathering and preparation of fire wood,2201,220,22,Forestry and logging,"Agriculture, forestry and fishing"
98,"Logging camps and loggers primarily engaged in felling timber and producing wood in the rough such as pitprops, split poles, pickets, hewn railway ties",2202,220,22,Forestry and logging,"Agriculture, forestry and fishing"
99,Production of charcoal in the forest (using traditional methods),2203,220,22,Forestry and logging,"Agriculture, forestry and fishing"
100,"Other logging activities, n.e.c.",2209,220,22,Forestry and logging,"Agriculture, forestry and fishing"
101,Gathering of tendu leaves,2301,230,23,Forestry and logging,"Agriculture, forestry and fishing"
102,"Gathering of lac, resins and rubber-like gums",2302,230,23,Forestry and logging,"Agriculture, forestry and fishing"
103,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, vegetable hair, eelgrass, mosses, lichens",2303,230,23,Forestry and logging,"Agriculture, forestry and fishing"
104,"Gathering of non-wood forest products, n.e.c.",2309,230,23,Forestry and logging,"Agriculture, forestry and fishing"
105,"Forestry service activities (forest management consulting services, forestry inventories, timber evaluation, forest pest control)",2401,240,24,Forestry and logging,"Agriculture, forestry and fishing"
106,Logging service activities such as transport of logs within the forest,2402,240,24,Forestry and logging,"Agriculture, forestry and fishing"
107,Fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters,3111,311,31,Fishing and aquaculture,"Agriculture, forestry and fishing"
108,"Gathering of other marine organisms and materials such as natural pearls, sponges, coral and algae",3112,311,31,Fishing and aquaculture,"Agriculture, forestry and fishing"
109,Activities of vessels engaged in fishing and in processing and preserving of fish,3113,311,31,Fishing and aquaculture,"Agriculture, forestry and fishing"
110,Fishing and taking of freshwater crustaceans and molluscs on a commercial basis in inland waters,3121,312,31,Fishing and aquaculture,"Agriculture, forestry and fishing"
111,Taking and gathering of freshwater aquatic animals,3122,312,31,Fishing and aquaculture,"Agriculture, forestry and fishing"
112,Fish farming in sea water including farming of marine ornamental fish,3211,321,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
113,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water",3212,321,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
114,Growing of edible seaweeds,3213,321,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
115,Aquaculture activities in brackish waters and in salt water filled tanks or reservoirs,3214,321,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
116,Operation of fish hatcheries (marine),3215,321,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
117,"Other marine aquaculture, n.e.c.",3219,321,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
118,Fish farming in freshwater including farming of freshwater ornamental fish,3221,322,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
119,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic animals",3222,322,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
120,Operation of fish hatcheries (fresh-water),3223,322,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
121,"Other freshwater aquaculture ctivities, n.e.c.",3229,322,32,Fishing and aquaculture,"Agriculture, forestry and fishing"
122,Opencast mining of hard coal,5101,510,51,Mining of coal and lignite,Mining and quarrying
123,Belowground mining of hard coal,5102,510,51,Mining of coal and lignite,Mining and quarrying
124,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal",5103,510,51,Mining of coal and lignite,Mining and quarrying
125,Other operations relating to mining and agglomeration of hard coal,5109,510,51,Mining of coal and lignite,Mining and quarrying
126,Opencast mining of lignite (brown coal),5201,520,52,Mining of coal and lignite,Mining and quarrying
127,Belowground mining of lignite (brown coal),5202,520,52,Mining of coal and lignite,Mining and quarrying
128,"Washing, dehydrating, pulverizing, compressing of lignite",5203,520,52,Mining of coal and lignite,Mining and quarrying
129,Other operations relating to mining and agglomeration of lignite,5209,520,52,Mining of coal and lignite,Mining and quarrying
130,Off shore extraction of crude petroleum,6101,610,61,Extraction of crude petroleum and natural gas,Mining and quarrying
131,On shore extraction of crude petroleum,6102,610,61,Extraction of crude petroleum and natural gas,Mining and quarrying
132,Offshore Extraction of natural gas,6201,620,62,Extraction of crude petroleum and natural gas,Mining and quarrying
133,On shore Extraction of natural gas,6202,620,62,Extraction of crude petroleum and natural gas,Mining and quarrying
134,Mining of iron ores,7100,710,71,Mining of metal ores,Mining and quarrying
135,Mining of uranium and thorium ores,7210,721,72,Mining of metal ores,Mining and quarrying
136,Mining of copper ore,7291,729,72,Mining of metal ores,Mining and quarrying
137,Mining of aluminium ore (bauxite),7292,729,72,Mining of metal ores,Mining and quarrying
138,Mining of manganese ore,7293,729,72,Mining of metal ores,Mining and quarrying
139,Mining of chromium ore,7294,729,72,Mining of metal ores,Mining and quarrying
140,"Mining of precious metal ore (gold, silver)",7295,729,72,Mining of metal ores,Mining and quarrying
141,Mining of lead and znic ore,7296,729,72,Mining of metal ores,Mining and quarrying
142,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous metal ores]",7299,729,72,Mining of metal ores,Mining and quarrying
143,Quarrying of marble,8101,810,81,Other mining and quarrying,Mining and quarrying
144,Quarrying of granite,8102,810,81,Other mining and quarrying,Mining and quarrying
145,Quarrying of slate and building and monumental stone other than marble and granite,8103,810,81,Other mining and quarrying,Mining and quarrying
146,Mining of dolomite,8104,810,81,Other mining and quarrying,Mining and quarrying
147,Mining of gypsum including selenite,8105,810,81,Other mining and quarrying,Mining and quarrying
148,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction",8106,810,81,Other mining and quarrying,Mining and quarrying
149,"Mining/quarrying of limestone, limeshell, â€˜kankarâ€™ and other calcareous minerals including calcite, chalk and shale",8107,810,81,Other mining and quarrying,Mining and quarrying
150,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fullerâ€™s earth, fire clay etc. )",8108,810,81,Other mining and quarrying,Mining and quarrying
151,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)",8109,810,81,Other mining and quarrying,Mining and quarrying
152,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur,8911,891,89,Other mining and quarrying,Mining and quarrying
153,Mining of natural phosphates including apatite minerals,8912,891,89,Other mining and quarrying,Mining and quarrying
154,Mining of earth colours (ochre including red oxide).,8913,891,89,Other mining and quarrying,Mining and quarrying
155,Mining of fluorspar,8914,891,89,Other mining and quarrying,Mining and quarrying
156,Mining of barytes,8915,891,89,Other mining and quarrying,Mining and quarrying
157,Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c.,8919,891,89,Other mining and quarrying,Mining and quarrying
158,Extraction and agglomeration of peat,8920,892,89,Other mining and quarrying,Mining and quarrying
159,"Salt mining, quarrying, screening etc.",8931,893,89,Other mining and quarrying,Mining and quarrying
160,Salt production by evaporation of sea water or other saline waters,8932,893,89,Other mining and quarrying,Mining and quarrying
161,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/ saphire etc.",8991,899,89,Other mining and quarrying,Mining and quarrying
162,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum, garnet and other natural abrasives)",8992,899,89,Other mining and quarrying,Mining and quarrying
163,Mining of mica,8993,899,89,Other mining and quarrying,Mining and quarrying
164,Mining of natural graphite,8994,899,89,Other mining and quarrying,Mining and quarrying
165,Mining of asbestos,8995,899,89,Other mining and quarrying,Mining and quarrying
166,"Mining of vermiculite, perlite and chlorites",8996,899,89,Other mining and quarrying,Mining and quarrying
167,"Mining of felspar and silica minerals including quartz, quartzite and fuch. Quartzite",8997,899,89,Other mining and quarrying,Mining and quarrying
168,Mining of talc/ steatite,8998,899,89,Other mining and quarrying,Mining and quarrying
169,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other natural fluxes; natural asphalt or bitumen and other mining n.e.c.",8999,899,89,Other mining and quarrying,Mining and quarrying
170,Services incidental to off shore oil extraction,9101,910,91,Mining support service activities,Mining and quarrying
171,Services incidental to on shore oil extraction,9102,910,91,Mining support service activities,Mining and quarrying
172,Services incidental to off shore gas extraction,9103,910,91,Mining support service activities,Mining and quarrying
173,Services incidental to on shore gas extraction,9104,910,91,Mining support service activities,Mining and quarrying
174,Support activities for other mining and quarrying,9900,990,99,Mining support service activities,Mining and quarrying
175,"Mutton-slaughtering, preparation",10101,1010,101,Manufacture of food products,Manufacturing
176,"Beef-slaughtering, preparation",10102,1010,101,Manufacture of food products,Manufacturing
177,"Pork-slaughtering, preparation",10103,1010,101,Manufacture of food products,Manufacturing
178,"Poultry and other slaughtering, preparation",10104,1010,101,Manufacture of food products,Manufacturing
179,"Preservation, Processing and canning of meat",10105,1010,101,Manufacture of food products,Manufacturing
180,Production of hides and skins originating from slaughterhouses,10106,1010,101,Manufacture of food products,Manufacturing
181,Rendering of lard and other edible fats of animal origin,10107,1010,101,Manufacture of food products,Manufacturing
182,Production and processing of animal offal,10108,1010,101,Manufacture of food products,Manufacturing
183,"Production, processing and preserving of other meat and meat products n.e.c.",10109,1010,101,Manufacture of food products,Manufacturing
184,Sun-drying of fish,10201,1020,102,Manufacture of food products,Manufacturing
185,Artificial dehydration of fish and sea food,10202,1020,102,Manufacture of food products,Manufacturing
186,Radiation preservation of fish and similar food,10203,1020,102,Manufacture of food products,Manufacturing
187,Processing and preserving of fish crustacean and similar foods,10204,1020,102,Manufacture of food products,Manufacturing
188,Processing and canning of fish,10205,1020,102,Manufacture of food products,Manufacturing
189,Processing and canning of frog legs,10206,1020,102,Manufacture of food products,Manufacturing
190,Production of fishmeal for human consumption or animal feed,10207,1020,102,Manufacture of food products,Manufacturing
191,"Production, processing and preservation of other fish products n.e.c.",10209,1020,102,Manufacture of food products,Manufacturing
192,Sun-drying of fruit and vegetables,10301,1030,103,Manufacture of food products,Manufacturing
193,Artificial dehydration of fruit and vegetables,10302,1030,103,Manufacture of food products,Manufacturing
194,Radiation preservation of fruit and vegetables,10303,1030,103,Manufacture of food products,Manufacturing
195,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",10304,1030,103,Manufacture of food products,Manufacturing
196,"Manufacture of sauces, jams, jellies and marmalades",10305,1030,103,Manufacture of food products,Manufacturing
197,"Manufacture of pickles, chutney etc.",10306,1030,103,Manufacture of food products,Manufacturing
198,Canning of fruits and vegetables,10307,1030,103,Manufacture of food products,Manufacturing
199,Manufacture of potato flour & meals and prepared meals of vegetables,10308,1030,103,Manufacture of food products,Manufacturing
200,Preservation of fruit and vegetables n.e.c.,10309,1030,103,Manufacture of food products,Manufacturing
201,Manufacture of hydrogenated oil and vanaspati ghee,10401,1040,104,Manufacture of food products,Manufacturing
202,Manufacture of vegetable oils and fats excluding corn oil,10402,1040,104,Manufacture of food products,Manufacturing
203,Manufacture of edible animal oils and fats,10403,1040,104,Manufacture of food products,Manufacturing
204,Manufacture of fish oil,10404,1040,104,Manufacture of food products,Manufacturing
205,Manufacture of non-edible animal oil and fats,10405,1040,104,Manufacture of food products,Manufacturing
206,"Manufacture of oil cakes & meals incl. residual products, e.g. Oleostearin,Palmstearin",10406,1040,104,Manufacture of food products,Manufacturing
207,"Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels",10407,1040,104,Manufacture of food products,Manufacturing
208,"Manufacture of other vegetable oil, animal oil and fats n.e.c",10409,1040,104,Manufacture of food products,Manufacturing
209,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured),10501,1050,105,Manufacture of food products,Manufacturing
210,"Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food",10502,1050,105,Manufacture of food products,Manufacturing
211,Manufacture of baby milk foods,10503,1050,105,Manufacture of food products,Manufacturing
212,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc.",10504,1050,105,Manufacture of food products,Manufacturing
213,"Manufacture of ice-cream, kulfi etc.",10505,1050,105,Manufacture of food products,Manufacturing
214,Manufacture of other dairy products n.e.c.,10509,1050,105,Manufacture of food products,Manufacturing
215,Flour milling,10611,1061,106,Manufacture of food products,Manufacturing
216,Rice milling,10612,1061,106,Manufacture of food products,Manufacturing
217,Dal (pulses) milling,10613,1061,106,Manufacture of food products,Manufacturing
218,"Grain milling other than wheat, rice and dal",10614,1061,106,Manufacture of food products,Manufacturing
219,"Vegetable milling (production of flour or meal of dried leguminous vegetables(except dal), of roots or tubers, or of edible nuts)",10615,1061,106,Manufacture of food products,Manufacturing
220,Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains,10616,1061,106,Manufacture of food products,Manufacturing
221,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits",10617,1061,106,Manufacture of food products,Manufacturing
222,"Manufacture of other readymade mixed powders like idli, gulabjamun etc.",10618,1061,106,Manufacture of food products,Manufacturing
223,Other grain milling and processing n.e.c.,10619,1061,106,Manufacture of food products,Manufacturing
224,"Manufacture of starches from rice, potatoes, maize etc.",10621,1062,106,Manufacture of food products,Manufacturing
225,Manufacture of sago and sago products,10622,1062,106,Manufacture of food products,Manufacturing
226,"Manufacture of glucose, glucose syrup, maltose etc.",10623,1062,106,Manufacture of food products,Manufacturing
227,Manufacture of gluten,10624,1062,106,Manufacture of food products,Manufacturing
228,Manufacture of tapioca and tapioca substitutes prepared from starch,10625,1062,106,Manufacture of food products,Manufacturing
229,Manufacture of corn oil,10626,1062,106,Manufacture of food products,Manufacturing
230,Manufacture of other starch products n.e.c.,10629,1062,106,Manufacture of food products,Manufacturing
231,Manufacture of bread,10711,1071,107,Manufacture of food products,Manufacturing
232,"Manufacture of biscuits, cakes, pastries, rusks etc.",10712,1071,107,Manufacture of food products,Manufacturing
233,Manufacture of other bakery products n.e.c.,10719,1071,107,Manufacture of food products,Manufacturing
234,Manufacture or refining of sugar (sucrose) from sugercane,10721,1072,107,Manufacture of food products,Manufacturing
235,Manufacture of `gurâ€™ from sugarcane,10722,1072,107,Manufacture of food products,Manufacturing
236,Manufacture of `gurâ€™ from other than sugarcane,10723,1072,107,Manufacture of food products,Manufacturing
237,Manufacture of `khandsariâ€™ sugar from sugarcane,10724,1072,107,Manufacture of food products,Manufacturing
238,Manufacture of `khandsariâ€™ suger from other than sugarcane,10725,1072,107,Manufacture of food products,Manufacturing
239,Manufacture of `booraâ€™ and candy from sugarcane,10726,1072,107,Manufacture of food products,Manufacturing
240,Manufacture of `booraâ€™ and candy from other than sugarcane,10727,1072,107,Manufacture of food products,Manufacturing
241,Manufacture of molasses,10728,1072,107,Manufacture of food products,Manufacturing
242,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)",10729,1072,107,Manufacture of food products,Manufacturing
243,Manufacture of cocoa products,10731,1073,107,Manufacture of food products,Manufacturing
244,Manufacture of chocolate and chocolate confectionery,10732,1073,107,Manufacture of food products,Manufacturing
245,Manufacture of sugar confectionery (except sweetmeats),10733,1073,107,Manufacture of food products,Manufacturing
246,Manufacture sweetmeats includind dairy based sweetmeats,10734,1073,107,Manufacture of food products,Manufacturing
247,Manufacture of chewing gum,10735,1073,107,Manufacture of food products,Manufacturing
248,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants",10736,1073,107,Manufacture of food products,Manufacturing
249,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",10739,1073,107,Manufacture of food products,Manufacturing
250,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",10740,1074,107,Manufacture of food products,Manufacturing
251,Manufacture of prepared meals and dishes,10750,1075,107,Manufacture of food products,Manufacturing
252,Processing and blending of tea including manufacture of instant tea,10791,1079,107,Manufacture of food products,Manufacturing
253,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",10792,1079,107,Manufacture of food products,Manufacturing
254,Processing of edible nuts,10793,1079,107,Manufacture of food products,Manufacturing
255,Manufacture of malted foods including foods for infants and handicapped,10794,1079,107,Manufacture of food products,Manufacturing
256,Grinding and processing of spices,10795,1079,107,Manufacture of food products,Manufacturing
257,"Manufacture of papads, appalam and similar food products",10796,1079,107,Manufacture of food products,Manufacturing
258,"Manufacture of vitaminised high protein flour, frying of dal and other cereals",10797,1079,107,Manufacture of food products,Manufacturing
259,"Processing of salt into food-grade salt, e.g. iodized salt",10798,1079,107,Manufacture of food products,Manufacturing
